ContentKey,en-US,en-GB,fr-FR,fa-IR
app_title,AspNetCoreSts,AspNetCoreSts,fr-AspNetCoreSts,سرویس احراز هویت
app_description,Identity Server Service,Identity Server Service,fr-Identity Server Service,سرویس احراز هویت مرکزی
app_copyright,Copyright,Copyright,fr-Copyright,کپی رایت
app_help,Help,Help,fr-Help,کمک
